timestamp,real_height_m,test_type,planned_offset_x_cm,planned_offset_y_cm,reference,confidence_percent,marker_width_px,marker_height_px,marker_area_px2,offset_x_px,offset_y_px,processing_time_ms,fps,elapsed_s
2026-07-12T17:37:34,0.25,center,0.0,0.0,A,74.88194444444444,893.9998779296875,718.9998779296875,642785.8031006008,191,-1,5.801467000082994,19.73930577191066,7.494067907333374
2026-07-12T17:37:34,0.25,center,0.0,0.0,A,75.14756944444444,876.0,719.0,629844.0,201,-1,4.921902999967642,19.73930577191066,7.694314241409302
2026-07-12T17:37:34,0.25,center,0.0,0.0,A,72.07638888888889,837.0,719.0,601803.0,220,-1,4.597695000029489,19.73930577191066,7.996483564376831
2026-07-12T17:37:35,0.25,center,0.0,0.0,original,74.33159722222223,823.9998779296875,718.9998779296875,592455.8116455227,226,-1,4.087227999889365,19.896731922287074,8.198768615722656
2026-07-12T17:37:35,0.25,center,0.0,0.0,A,73.15104166666667,828.0,719.0,595332.0,225,-1,5.176905000098486,19.896731922287074,8.40070366859436
2026-07-12T17:37:35,0.25,center,0.0,0.0,A,72.05034722222223,796.0,719.0,572324.0,241,-1,4.7053450000476005,19.896731922287074,8.955027341842651
2026-07-12T17:37:36,0.25,center,0.0,0.0,original,73.50347222222223,790.0,719.0,568010.0,244,-1,4.237803000023632,19.889141544850183,9.156325578689575
2026-07-12T17:37:36,0.25,center,0.0,0.0,original,78.66493055555556,789.0,719.0,567291.0,244,-1,4.328432999955112,19.889141544850183,9.35894227027893
2026-07-12T17:37:36,0.25,center,0.0,0.0,original,78.11631944444444,806.0,719.0,579514.0,236,-1,4.405896999969627,19.889141544850183,9.561288833618164
2026-07-12T17:37:36,0.25,center,0.0,0.0,original,78.86631944444444,818.0,719.0,588142.0,230,-1,4.075634999935573,19.889141544850183,9.762179374694824
2026-07-12T17:37:36,0.25,center,0.0,0.0,original,77.69618055555556,817.0,719.0,587423.0,230,-1,3.943745000015042,19.889141544850183,9.96269941329956
2026-07-12T17:37:37,0.25,center,0.0,0.0,original,76.02256944444444,819.0,719.0,588861.0,229,-1,4.312822999963828,19.81464815380507,10.164842128753662
2026-07-12T17:37:37,0.25,center,0.0,0.0,original,76.91145833333334,824.0,719.0,592456.0,227,-1,4.361192999795094,19.81464815380507,10.366791725158691
2026-07-12T17:37:37,0.25,center,0.0,0.0,original,79.11805555555556,832.0,719.0,598208.0,223,-1,4.276209999943603,19.81464815380507,10.569646120071411
2026-07-12T17:37:37,0.25,center,0.0,0.0,original,78.9375,843.0,719.0,606117.0,217,-1,4.752067000026727,19.81464815380507,10.770370960235596
2026-07-12T17:37:37,0.25,center,0.0,0.0,original,78.96180555555556,843.0,719.0,606117.0,217,-1,4.123931000094672,19.81464815380507,10.971704959869385
2026-07-12T17:37:38,0.25,center,0.0,0.0,original,79.03645833333334,843.0,719.0,606117.0,217,-1,4.055560000097103,19.8701234485975,11.174038171768188
2026-07-12T17:37:38,0.25,center,0.0,0.0,original,78.98611111111111,843.0,719.0,606117.0,217,-1,3.8028550000035466,19.8701234485975,11.374823093414307
2026-07-12T17:37:38,0.25,center,0.0,0.0,original,78.87152777777777,844.0,719.0,606836.0,217,-1,4.840365000063684,19.8701234485975,11.578643321990967
2026-07-12T17:37:38,0.25,center,0.0,0.0,original,78.96180555555556,844.0,719.0,606836.0,217,-1,6.263213000011092,19.8701234485975,11.780263423919678
2026-07-12T17:37:38,0.25,center,0.0,0.0,original,79.17708333333333,843.0,719.0,606117.0,217,-1,7.0452579998345755,19.8701234485975,11.982951402664185
2026-07-12T17:37:39,0.25,center,0.0,0.0,original,79.1267361111111,843.0,719.0,606117.0,217,-1,4.111598000008598,19.757789632294536,12.232188701629639
2026-07-12T17:37:39,0.25,center,0.0,0.0,original,78.9079861111111,844.0,719.0,606836.0,217,-1,4.602880999982517,19.757789632294536,12.434373617172241
2026-07-12T17:37:39,0.25,center,0.0,0.0,original,78.88541666666666,844.0,719.0,606836.0,217,-1,5.203331000075195,19.757789632294536,12.639249801635742
2026-07-12T17:37:39,0.25,center,0.0,0.0,original,78.88020833333333,844.0,719.0,606836.0,217,-1,5.104182000195578,19.757789632294536,12.889253616333008
2026-07-12T17:37:40,0.25,center,0.0,0.0,original,78.87847222222221,844.0,719.0,606836.0,217,-1,5.3999079998448,19.757789632294536,13.091258764266968
2026-07-12T17:37:40,0.25,center,0.0,0.0,original,78.88020833333333,844.0,719.0,606836.0,217,-1,4.777808000199002,19.873081755753482,13.292232036590576
2026-07-12T17:37:40,0.25,center,0.0,0.0,original,78.87673611111111,844.0,719.0,606836.0,217,-1,5.300814000065657,19.873081755753482,13.497507810592651
2026-07-12T17:37:40,0.25,center,0.0,0.0,original,78.875,844.0,719.0,606836.0,217,-1,4.936180999948192,19.873081755753482,13.746093988418579
2026-07-12T17:37:40,0.25,center,0.0,0.0,original,78.875,844.0,719.0,606836.0,217,-1,4.684806999875946,19.873081755753482,13.950778722763062
2026-07-12T17:37:58,0.5,center,0.0,0.0,original,78.81423611111111,844.0,719.0,606836.0,217,-1,4.14693199991234,0.0,0.2829859256744385
2026-07-12T17:37:59,0.5,center,0.0,0.0,original,79.02256944444444,843.0,719.0,606117.0,217,-1,4.162079999787238,0.0,0.5022709369659424
2026-07-12T17:37:59,0.5,center,0.0,0.0,original,78.85763888888889,844.0,719.0,606836.0,217,-1,4.438971999888963,0.0,0.7365498542785645
2026-07-12T17:37:59,0.5,center,0.0,0.0,original,78.86458333333334,844.0,719.0,606836.0,217,-1,5.235387999846353,0.0,0.9396724700927734
2026-07-12T17:37:59,0.5,center,0.0,0.0,original,79.02604166666667,843.0,719.0,606117.0,217,-1,3.8964479999776813,12.510704856787212,1.1405284404754639
2026-07-12T17:37:59,0.5,center,0.0,0.0,original,78.85243055555556,844.0,719.0,606836.0,217,-1,4.27996999997049,12.510704856787212,1.341545581817627
2026-07-12T17:38:00,0.5,center,0.0,0.0,original,78.85243055555556,844.0,719.0,606836.0,217,-1,4.446879999932207,12.510704856787212,1.5434529781341553
2026-07-12T17:38:00,0.5,center,0.0,0.0,original,78.85069444444444,844.0,719.0,606836.0,217,-1,4.5516580000821705,12.510704856787212,1.7452270984649658
2026-07-12T17:38:00,0.5,center,0.0,0.0,original,78.84548611111111,844.0,719.0,606836.0,217,-1,5.956081000022095,12.510704856787212,1.9486961364746094
