timestamp,real_height_m,test_type,planned_offset_x_cm,planned_offset_y_cm,samples,avg_marker_width_px,stdev_marker_width_px,avg_marker_height_px,stdev_marker_height_px,avg_marker_area_px2,stdev_marker_area_px2,avg_confidence_percent,stdev_confidence_percent,avg_fps,avg_processing_time_ms,first_accepted_sample_elapsed_s,last_accepted_sample_elapsed_s
2026-07-12T17:37:40,0.25,center,0.0,0.0,30,834.9333251953125,21.996751261220684,718.9999918619792,3.0970230920710745e-05,600317.0538248707,15815.655775926432,77.45520833333333,2.3392758931165223,19.83529846677812,4.741234700001466,7.494067907333374,13.950778722763062
2026-07-12T17:38:04,0.5,center,0.0,0.0,30,532.7143264770508,260.70832021651154,482.09423828125,199.61185291799578,307097.7517015065,250282.37338579306,88.78148148148148,8.249878336442082,15.95850164211927,5.404173333317885,0.2829859256744385,6.3873610496521
2026-07-12T17:38:28,0.75,center,0.0,0.0,30,236.8438824971517,44.02569652026368,236.42149505615234,41.854559055132604,57775.08242348929,28837.50613565889,95.26521990740741,1.3543405493141054,19.832534151203433,5.992845366646786,2.5500681400299072,8.605843544006348
2026-07-12T17:38:53,1.0,center,0.0,0.0,30,177.04877268473308,91.94418470153904,174.6638203938802,79.81554600517957,38008.15063456168,62419.52056533711,93.83298611111111,3.064327177155047,19.839327189407395,5.690762833349557,2.347465991973877,8.400611400604248
2026-07-12T17:39:16,1.25,center,0.0,0.0,30,137.6091562906901,37.183536888655254,136.91305096944174,37.013320846436166,20169.371343174265,16502.477325338794,92.94305555555556,3.0053387108967895,19.833489657765092,6.059486399984356,2.5505058765411377,8.551400423049927
2026-07-12T17:40:01,1.5,center,0.0,0.0,30,240.94801330566406,173.33597361468108,310.4074104309082,280.19820423374506,120558.11799296939,152566.55909049086,89.25989583333333,6.797493152682824,19.828157603187428,6.274210299996715,2.249769687652588,8.298868179321289
2026-07-12T17:40:26,1.75,center,0.0,0.0,30,161.54008305867512,138.33433181812794,192.52235425313313,217.38881371822805,59146.03819321893,113172.00372203463,91.12627314814814,7.498058194004615,19.81480818823856,9.757556333352113,2.297146797180176,8.505023956298828
2026-07-12T17:41:18,2.0,center,0.0,0.0,30,122.9701722462972,129.92218109530495,135.91730041503905,169.70135609488642,37904.88435575577,100562.85826201427,92.07453703703703,4.33690934743744,19.813895247481128,9.682683500000167,2.4528908729553223,8.760465383529663
2026-07-12T17:44:31,1.5,center,0.0,0.0,30,481.9066881815592,90.49785580323285,673.6839630126954,145.34242293481122,336569.50946699886,90616.4669824411,80.84716435185184,2.2226272849132998,19.82724106582213,6.998577333304941,2.500816822052002,8.457030296325684
2026-07-12T17:45:04,1.5,center,0.0,0.0,30,182.77503026326497,95.16715067884705,187.05574378967285,91.86679442342893,41174.41290135182,41712.00244153005,85.5537037037037,9.955329272881498,19.828603236296516,7.131079899977522,3.005079507827759,9.210636138916016
2026-07-12T17:48:54,1.5,center,0.0,0.0,30,113.36341133117676,50.74169395652413,114.24743932088217,51.218317422101634,15463.179601850485,22407.460120945456,93.84103009259259,5.509874785409356,19.826383053265534,6.041277800037885,2.9065728187561035,8.908752202987671
2026-07-12T17:56:58,1.5,center,0.0,0.0,30,400.06486689249675,143.79511492827814,570.6526713053386,237.89073504543478,260083.42793878066,140855.8677503707,78.84091435185185,6.277242396905069,19.823257179910037,7.250242866636351,2.75601863861084,8.959626197814941
2026-07-12T17:57:43,1.5,center,0.0,0.0,30,379.89763870239256,156.97550849315516,555.9973396301269,264.33651294411277,250177.48163297822,142274.54608631972,83.35920138888889,5.103189686901094,19.82771135838705,6.393364233281318,2.6517250537872314,8.553860425949097
2026-07-12T17:58:44,1.5,center,0.0,0.0,30,424.4478019714355,156.69143005849224,592.3915860493978,240.35184573513644,286165.7691447352,142178.44755439842,82.00613425925926,6.968116990522101,19.82149932255513,7.238395433341793,4.972006559371948,11.225547790527344
