timestamp,real_height_m,test_type,planned_offset_x_cm,planned_offset_y_cm,reference,confidence_percent,marker_width_px,marker_height_px,marker_area_px2,offset_x_px,offset_y_px,processing_time_ms,fps,elapsed_s
2026-07-12T19:31:40,1.75,center,0.0,0.0,original,91.97743055555556,109.68566131591797,111.12186050415039,12188.475214790553,81,195,6.562642000062624,15.411133173281675,2.1640210151672363
2026-07-12T19:31:41,1.75,center,0.0,0.0,original,91.89583333333333,97.96381378173828,102.83576202392578,10074.18255341053,113,288,6.658180000158609,15.411133173281675,2.52416729927063
2026-07-12T19:31:41,1.75,center,0.0,0.0,original,93.9704861111111,93.75642395019531,98.61536407470703,9245.823654547334,72,298,5.838468001456931,15.411133173281675,2.725748300552368
2026-07-12T19:31:41,1.75,center,0.0,0.0,original,91.99131944444444,90.1451187133789,90.9066162109375,8194.788014352322,63,267,6.613883000682108,15.411133173281675,2.929588556289673
2026-07-12T19:31:41,1.75,center,0.0,0.0,original,94.30034722222223,90.0,91.0,8190.0,77,244,6.3137500001175795,19.5031403751988,3.180140256881714
2026-07-12T19:31:42,1.75,center,0.0,0.0,original,91.89583333333333,89.0,88.0,7832.0,63,207,6.061599999156897,19.5031403751988,3.430845022201538
2026-07-12T19:31:42,1.75,center,0.0,0.0,original,92.80381944444444,88.0,88.0,7744.0,60,181,5.923504999373108,19.5031403751988,3.6325976848602295
2026-07-12T19:31:42,1.75,center,0.0,0.0,original,94.90625,88.1115951538086,88.64480590820312,7810.634660065174,62,156,5.490667999765719,19.5031403751988,3.833822250366211
2026-07-12T19:31:42,1.75,center,0.0,0.0,original,94.765625,88.0,88.0,7744.0,52,149,5.880987000637106,19.5031403751988,4.036930561065674
2026-07-12T19:31:42,1.75,center,0.0,0.0,original,95.5329861111111,88.0,88.0,7744.0,47,141,7.000702000368619,19.851295868209647,4.239120960235596
2026-07-12T19:31:43,1.75,center,0.0,0.0,original,94.93576388888889,87.0,88.0,7656.0,45,136,5.966339000224252,19.851295868209647,4.439435243606567
2026-07-12T19:31:43,1.75,center,0.0,0.0,original,94.7517361111111,87.0,88.0,7656.0,46,131,5.84832000095048,19.851295868209647,4.640932321548462
2026-07-12T19:31:43,1.75,center,0.0,0.0,original,95.45659722222221,88.0,88.0,7744.0,51,132,6.455271000959328,19.851295868209647,4.844895839691162
2026-07-12T19:31:43,1.75,center,0.0,0.0,original,95.46180555555556,87.0,88.0,7656.0,50,131,7.561299998997129,19.851295868209647,5.047678470611572
2026-07-12T19:31:43,1.75,center,0.0,0.0,original,95.02604166666667,87.0,89.0,7743.0,41,131,8.252343999629375,19.735752347658607,5.249863862991333
2026-07-12T19:31:44,1.75,center,0.0,0.0,original,94.984375,87.0,89.0,7743.0,37,126,7.517447998907301,19.735752347658607,5.451824188232422
2026-07-12T19:31:44,1.75,center,0.0,0.0,original,95.01736111111111,88.0,88.0,7744.0,32,122,7.158722999520251,19.735752347658607,5.702680826187134
2026-07-12T19:31:44,1.75,center,0.0,0.0,original,95.40277777777779,87.79149627685547,88.88740539550781,7803.558357551694,30,124,7.296834999579005,19.735752347658607,5.9542059898376465
2026-07-12T19:31:44,1.75,center,0.0,0.0,original,94.69270833333333,87.0,88.0,7656.0,29,127,6.406974000128685,19.904309593729515,6.155132293701172
2026-07-12T19:31:45,1.75,center,0.0,0.0,original,94.62326388888889,88.0,89.0,7832.0,28,124,6.67610599884938,19.904309593729515,6.356994867324829
2026-07-12T19:31:45,1.75,center,0.0,0.0,original,94.94270833333334,88.0,88.0,7744.0,27,124,6.505548999484745,19.904309593729515,6.559002876281738
2026-07-12T19:31:45,1.75,center,0.0,0.0,original,94.74131944444444,87.0,88.0,7656.0,28,122,7.825803000741871,19.904309593729515,6.762681484222412
2026-07-12T19:31:45,1.75,center,0.0,0.0,original,94.77604166666667,87.0,89.0,7743.0,29,122,7.490523001251859,19.904309593729515,7.013428688049316
2026-07-12T19:31:45,1.75,center,0.0,0.0,original,94.63541666666667,88.0,88.0,7744.0,23,118,6.982924000112689,19.779605312648002,7.214613676071167
2026-07-12T19:31:46,1.75,center,0.0,0.0,original,95.13541666666666,88.0,88.0,7744.0,23,122,6.614364998313249,19.779605312648002,7.415898561477661
2026-07-12T19:31:46,1.75,center,0.0,0.0,original,94.67534722222221,87.0,87.0,7569.0,25,122,7.484356001441483,19.779605312648002,7.618502855300903
2026-07-12T19:31:46,1.75,center,0.0,0.0,original,94.99479166666667,87.0,88.0,7656.0,23,119,6.862868000098388,19.779605312648002,7.819652318954468
2026-07-12T19:31:46,1.75,center,0.0,0.0,original,94.52777777777777,87.0,88.0,7656.0,17,119,6.495030000223778,19.779605312648002,8.020829677581787
2026-07-12T19:31:46,1.75,center,0.0,0.0,original,95.22569444444444,88.0,88.0,7744.0,17,119,8.453458000076353,19.87757299429573,8.224955797195435
2026-07-12T19:31:47,1.75,center,0.0,0.0,original,94.55208333333334,87.0,88.0,7656.0,14,118,6.910182999490644,19.87757299429573,8.478021621704102
2026-07-12T19:36:54,0.25,center,0.0,0.0,original,90.01736111111111,796.7091674804688,734.5661010742188,585235.4983387071,9,5,5.120117999467766,19.831063217958786,32.20316791534424
